,,,,,,,,,6.02E+23,,1.20E+02,N*,1000,,,,,,,kJ/mol,J /K/mol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,R1,R2,R3,P1,P2,P3,,,,,,,"reference, if any",,equil. constant,A,n,B,Delta H,Delta S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,H,H,M,H2,,M,,9.10E-33,-1.33,,,1.83E-33,Walkauskas and Kaufman 1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,H,H,M,H2,,M,,8.81E-33,-0.60,,,4.28E-33,Baulch et al 1992 in H2,"Baulch, D.L.; Cobos, C.J.; Cox, R.A.; Esser, C.; Frank, P.; Just, Th.; Kerr, J.A.; Pilling, M.J.; Troe, J.; Walker, R.W.; Warnatz, J. Evaluated kinetic data for combustion modelling. J. Phys. Chem. Ref. Data. 21 411-429. (1992)",1.95E+17,0.0319,-1.28,52100,-436,-98.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,H,H,M,H2,,M,,1.00E-12,,,2.34E+20,1.00E-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,H,H,M,H2,,M,,6.00E-34,,-4.18E+03,,3.91E-32,reverse of Baulch R2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,H2,,M,H,H,M,,2.30E-11,1.25,6.50E+04,,6.11E-39,Tielens and Hollenbach 1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,H2,,M,H,H,M,52561.94371,2.59E-08,-1.40,5.26E+04,,7.14E-32,This is reverse of Walkauskaas Kaufman. Tsang and Hampson 1986 (800<T<2000 in N2),"1986  Tsang, W.; Hampson, R.F., ``Chemical kinetic data base for combustion chemistry. Part I. Methane and related compounds'' J. Phys. Chem. Ref. Data 15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,H2,,M,H,H,M,48352.17705,1.50E-09,0.00,4.84E+04,,1.51E-30,Baulch et al 1992 in H2 (>2500),"Baulch, D.L.; Cobos, C.J.; Cox, R.A.; Esser, C.; Frank, P.; Just, Th.; Kerr, J.A.; Pilling, M.J.; Troe, J.; Walker, R.W.; Warnatz, J. Evaluated kinetic data for combustion modelling. J. Phys. Chem. Ref. Data. 21 411-429. (1992)", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,H2,,M,H,H,M,,2.30E+12,,5.25E+04,2.30E+20,3.64E-11,k_infty reverse R1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,H2,,M,H,H,M,,4.50E-09,,5.17E+04,,1.59E-31,reverse of Baulch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,O,H,M,OH,,M,,4.33E-32,-1.00,,,1.30E-32,Tsang and Hampson 1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,O,H,M,OH,,M,,1.00E-12,,,7.69E+19,1.00E-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,OH,,M,O,H,M,5.153E+04,4.00E-09,,5.00E+04,,7.71E-31,Tsang and Hampson 1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,OH,,M,O,H,M,5.153E+04,6.00E-09,,5.09E+04,,4.71E-31,Millar 1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,OH,,M,O,H,M,,3.00E-09,,5.00E+04,,5.79E-31,better reverse of R9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,OH,,M,O,H,M,,1.00E+12,,5.15E+04,7.44E+19,4.30E-11,reverse R9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
