0.01	0.61165	0.0060	0.088712
2	0.70599	0.0070	0.10240
4	0.81355	0.0080	0.11800
10	1.2282	0.0121	0.17814
14	1.5990	0.0158	0.23192
18	2.0647	0.0204	0.29946
20	2.3393	0.0231	0.33929
25	3.1699	0.0313	0.45976
30	4.2470	0.0419	0.61598
34	5.3251	0.0526	0.77234
40	7.3849	0.0729	1.0711
44	9.1124	0.0899	1.3216
50	12.352	0.122	1.7915
54	15.022	0.148	2.1788
60	19.946	0.197	2.8929
70	31.201	0.308	4.5253
80	47.414	0.468	6.8768
90	70.182	0.693	10.179
96	87.771	0.866	12.730
100	101.42	1.001	14.710
110	143.38	1.42	20.796
120	198.67	1.96	28.815
130	270.28	2.67	39.201
140	361.54	3.57	52.437
150	476.16	4.70	69.061
160	618.23	6.10	89.667
180	1002.8	9.90	145.44
200	1554.9	15.35	225.52
220	2319.6	22.89	336.43
240	3346.9	33.03	485.43
260	4692.3	46.31	680.56
280	6416.6	63.33	930.65
300	8587.9	84.76	1245.6
320	11284	111.4	1636.6
340	14601	144.1	2117.7
360	18666	184.2	2707.3
370	21044	207.7	3052.2
