bin   short   long     flux       H         H2          O          O2         CO        CO2         C           S          N          N2         NO        CH4        HCN       C2H2      H2O        He
============================================================================================================================================================================================================
  1      0      2   1.00E-01   6.68E-26   1.40E-21   5.00E-20   1.00E-19   1.00E-19   1.00E-19   5.00E-20   1.00E-19   5.00E-20   1.00E-19   1.00E-19   1.00E-19   1.00E-19   1.00E-19   1.00E-19   1.00E-25
  2      2      4   3.00E+01   5.34E-25   2.80E-21   5.00E-20   1.00E-19   1.00E-19   1.00E-19   5.00E-20   1.00E-19   5.00E-20   1.00E-19   1.00E-19   1.00E-19   1.00E-19   1.00E-19   1.00E-19   1.00E-24
  3      4      6   2.50E+03   1.80E-24   4.20E-21   5.00E-20   1.00E-19   1.00E-19   1.00E-19   5.00E-20   1.00E-19   5.00E-20   1.00E-19   1.00E-19   1.00E-19   1.00E-19   1.00E-19   1.00E-19   1.00E-23
  4      6      8   2.80E+04   4.27E-24   5.60E-21   5.00E-20   1.00E-19   1.00E-19   1.00E-19   5.00E-20   1.00E-19   5.00E-20   1.00E-19   1.00E-19   1.00E-19   1.00E-19   1.00E-19   1.00E-19   3.00E-22
  5      8     10   1.80E+05   8.34E-24   7.00E-21   5.00E-20   1.00E-19   1.00E-19   1.00E-19   5.00E-20   1.00E-19   5.00E-20   1.00E-19   1.00E-19   1.00E-19   1.00E-19   1.00E-19   1.00E-19   1.00E-22
  6     10     40   4.00E+06   5.34E-22   1.00E-20   1.00E-19   2.00E-19   2.00E-19   2.00E-19   1.00E-19   2.00E-19   1.00E-19   2.00E-19   2.00E-19   2.00E-19   2.00E-19   2.00E-19   2.00E-19   1.75E-22
  7     40     50   4.70E+07   1.04E-21   2.00E-20   1.50E-19   3.00E-19   3.00E-19   3.00E-19   1.50E-19   3.00E-19   1.50E-19   3.00E-19   3.00E-19   3.00E-19   3.00E-19   3.00E-19   3.00E-19   2.13E-22
  8     50     60   8.30E+07   1.80E-21   3.00E-20   2.50E-19   5.00E-19   5.00E-19   5.00E-19   2.50E-19   5.00E-19   2.50E-19   5.00E-19   5.00E-19   5.00E-19   5.00E-19   5.00E-19   5.00E-19   3.01E-21
  9     60     70   1.03E+08   2.86E-21   4.00E-20   3.25E-19   6.50E-19   6.50E-19   6.50E-19   3.25E-19   6.50E-19   3.25E-19   6.50E-19   6.50E-19   6.50E-19   6.50E-19   6.50E-19   6.50E-19   4.85E-21
 10     70     80   9.40E+07   4.27E-21   5.00E-20   4.00E-19   8.00E-19   8.00E-19   8.00E-19   4.00E-19   8.00E-19   4.00E-19   8.00E-19   8.00E-19   8.00E-19   8.00E-19   8.00E-19   8.00E-19   7.45E-21
 11     80     90   1.20E+08   6.08E-21   6.00E-20   6.50E-19   1.30E-18   1.30E-18   1.30E-18   6.50E-19   1.30E-18   6.50E-19   1.30E-18   1.30E-18   1.30E-18   1.30E-18   1.30E-18   1.30E-18   8.33E-21
 12     90    100   9.90E+07   8.34E-21   8.00E-20   9.00E-19   1.80E-18   1.80E-18   1.80E-18   9.00E-19   1.80E-18   9.00E-19   1.80E-18   1.80E-18   1.80E-18   1.80E-18   1.80E-18   1.80E-18   1.21E-20
 13    100    110   5.60E+07   1.11E-20   1.00E-19   1.10E-18   2.20E-18   2.20E-18   2.20E-18   1.10E-18   2.20E-18   1.10E-18   2.20E-18   2.20E-18   2.20E-18   2.20E-18   2.20E-18   2.20E-18   1.60E-20
 14    110    120   2.50E+07   1.44E-20   1.30E-19   1.35E-18   2.70E-18   2.70E-18   2.70E-18   1.35E-18   2.70E-18   1.35E-18   2.70E-18   2.70E-18   2.70E-18   2.70E-18   2.70E-18   2.70E-18   2.00E-20
 15    120    128   1.20E+07   1.75E-20   1.50E-19   1.65E-18   3.30E-18   3.30E-18   3.30E-18   1.65E-18   3.30E-18   1.65E-18   3.30E-18   3.30E-18   3.30E-18   3.30E-18   3.30E-18   3.30E-18   2.50E-20
 16    128    153   3.07E+08   2.99E-20   2.00E-19   2.00E-18   4.00E-18   4.00E-18   4.00E-18   2.00E-18   4.00E-18   2.00E-18   4.00E-18   4.00E-18   4.00E-18   4.00E-18   4.00E-18   4.00E-18   1.63E-20
 17    153    176   9.00E+08   4.55E-20   2.50E-19   3.00E-18   6.00E-18   6.00E-18   6.00E-18   3.00E-18   6.00E-18   3.00E-18   6.00E-18   6.00E-18   6.00E-18   6.00E-18   6.00E-18   6.00E-18   3.33E-20
 18    176    205   9.70E+09   7.19E-20   3.00E-19   4.00E-18   8.00E-18   8.00E-18   8.00E-18   4.00E-18   8.00E-18   4.00E-18   8.00E-18   8.00E-18   8.00E-18   8.00E-18   8.00E-18   8.00E-18   1.03E-20
 19    205    231   1.40E+09   1.03E-19   4.00E-19   5.00E-18   1.00E-17   1.00E-17   1.00E-17   5.00E-18   1.00E-17   5.00E-18   1.00E-17   1.00E-17   1.00E-17   1.00E-17   1.00E-17   1.00E-17   4.29E-20
 20    231    270   2.65E+09   1.64E-19   5.00E-19   6.00E-18   1.20E-17   1.20E-17   1.20E-17   6.00E-18   1.20E-17   6.00E-18   1.20E-17   1.20E-17   1.20E-17   1.20E-17   1.20E-17   1.20E-17   3.77E-20
 21    270    280   4.50E+08   1.83E-19   5.00E-19   7.00E-18   1.40E-17   1.40E-17   1.40E-17   7.00E-18   1.40E-17   7.00E-18   1.40E-17   1.40E-17   1.40E-17   1.40E-17   1.40E-17   1.40E-17   2.22E-19
 22    280    300   1.54E+09   2.25E-19   5.00E-19   7.50E-18   1.50E-17   1.50E-17   1.50E-17   7.50E-18   1.50E-17   7.50E-18   1.50E-17   1.50E-17   1.50E-17   1.50E-17   1.50E-17   1.50E-17   1.04E-19
 23    300    320   5.84E+09   2.73E-19   1.00E-18   8.00E-18   1.60E-17   1.60E-17   1.60E-17   8.00E-18   1.60E-17   8.00E-18   1.60E-17   1.60E-17   1.60E-17   1.60E-17   1.60E-17   1.60E-17   1.37E-19
 24    320    340   1.16E+09   3.28E-19   1.20E-18   8.50E-18   1.70E-17   1.70E-17   1.70E-17   8.50E-18   1.70E-17   8.50E-18   1.70E-17   1.70E-17   1.70E-17   1.70E-17   1.70E-17   1.70E-17   1.38E-19
 25    340    360   4.50E+08   3.89E-19   1.50E-18   9.00E-18   1.80E-17   1.80E-17   1.80E-17   9.00E-18   1.80E-17   9.00E-18   1.80E-17   1.80E-17   1.80E-17   1.80E-17   1.80E-17   1.80E-17   2.00E-19
 26    360    370   1.31E+09   4.23E-19   2.50E-18   9.50E-18   1.90E-17   1.90E-17   1.90E-17   9.50E-18   1.90E-17   9.50E-18   1.90E-17   1.90E-17   1.90E-17   1.90E-17   1.90E-17   1.90E-17   3.82E-19
